,user_id,topic,time_spent,quiz_score,preference,feedback,rating
63,163,Statistics,50,35,Interactive,Need detailed explanations,4
64,164,Trigonometry,15,62,Interactive,More diagrams would help,5
65,165,Statistics,17,97,Audio,"Too fast, need more examples",3
66,166,Derivatives,38,74,Visual,More diagrams would help,2
67,167,Limits,40,86,Visual,Helpful content!,1
68,168,Geometry,35,46,Text,Helpful content!,1
69,169,Functions,15,45,Interactive,Need detailed explanations,5
70,170,Functions,14,60,Interactive,Prefer video format,1
71,171,Probability,46,95,Visual,Helpful content!,4
72,172,Trigonometry,57,35,Interactive,Good but a bit advanced,4
73,173,Derivatives,59,73,Interactive,Need detailed explanations,1
74,174,Linear Equations,55,99,Interactive,More diagrams would help,3
75,175,Calculus,50,58,Interactive,"Too fast, need more examples",3
76,176,Probability,27,44,Text,"Too fast, need more examples",1
77,177,Limits,59,44,Audio,Need detailed explanations,4
78,178,Trigonometry,40,32,Text,Very easy to understand,5
79,179,Algebra,17,78,Audio,Need detailed explanations,4
80,180,Probability,21,84,Interactive,Prefer video format,2
81,181,Probability,16,33,Interactive,Clear and concise,5
82,182,Statistics,54,33,Audio,Clear and concise,2
83,183,Statistics,48,42,Visual,Helpful content!,3
84,184,Derivatives,35,62,Audio,Helpful content!,4
85,185,Probability,48,34,Visual,Prefer video format,3
86,186,Geometry,21,48,Visual,More diagrams would help,1
87,187,Geometry,42,38,Audio,Good but a bit advanced,1
88,188,Geometry,40,72,Visual,Very easy to understand,5
89,189,Limits,52,96,Audio,Add more practice questions,2
90,190,Functions,54,82,Text,Clear and concise,5
91,191,Algebra,30,85,Visual,Very easy to understand,3
92,192,Probability,59,85,Audio,Loved the animation,5
93,193,Trigonometry,33,96,Audio,"Too fast, need more examples",4
94,194,Derivatives,15,66,Text,Very easy to understand,4
95,195,Calculus,29,58,Audio,"Too fast, need more examples",2
96,196,Calculus,18,61,Visual,More diagrams would help,2
97,197,Derivatives,14,93,Interactive,More diagrams would help,4
98,198,Limits,49,74,Audio,Loved the animation,4
99,199,Limits,13,63,Interactive,Clear and concise,5
100,200,Algebra,53,74,Visual,Add more practice questions,1
101,201,Calculus,35,92,Interactive,Need detailed explanations,1
102,202,Limits,17,41,Interactive,More diagrams would help,3
103,203,Functions,11,85,Interactive,More diagrams would help,5
104,204,Trigonometry,40,45,Visual,More diagrams would help,2
105,205,Statistics,49,96,Interactive,Loved the animation,2
106,206,Algebra,59,51,Interactive,Helpful content!,4
107,207,Functions,50,72,Audio,Loved the animation,2
108,208,Trigonometry,52,85,Text,Good but a bit advanced,1
109,209,Trigonometry,35,41,Text,Add more practice questions,3
110,210,Probability,57,47,Interactive,Clear and concise,1
111,211,Functions,21,81,Audio,Need detailed explanations,5
112,212,Probability,16,53,Audio,More diagrams would help,2
113,213,Trigonometry,35,80,Interactive,Good but a bit advanced,5
114,214,Limits,33,81,Visual,Good but a bit advanced,1
115,215,Trigonometry,22,94,Audio,"Too fast, need more examples",5
116,216,Probability,33,68,Visual,More diagrams would help,1
117,217,Algebra,23,90,Text,Good but a bit advanced,1
118,218,Geometry,29,31,Text,Loved the animation,5
119,219,Calculus,26,63,Visual,Need detailed explanations,4
120,0,Algebra,1,0,Visual,,1
121,0,Algebra,24,42,Visual,Good,3
122,0,Algebra,24,42,Visual,Good,3
123,0,Algebra,1,0,Visual,,1
124,0,Algebra,1,0,Visual,,0
125,0,Algebra,21,28,Visual,Good,2
126,0,Algebra,21,28,Visual,Good,2
127,0,Algebra,21,28,Visual,Good,2
128,0,Algebra,1,0,Visual,,0
129,0,Algebra,16,34,Visual,Good,2
130,0,Algebra,16,34,Visual,Good,2
131,0,Algebra,1,0,Visual,,0
132,0,Algebra,1,0,Visual,,0
